title,body,labels,status,milestones
[13pt] Code - USS,Write style sheets for screens and visual elements,task,open,version 0.1
[20pt] Code - C# - Health Feedback,Write scripts to reflect physical damage and player choices on the in-game health component,task,open,version 0.1
[20pt] Code - C# - Directionality,Write scripts to reflect the current location and direction of the character within the game environment,task,open,version 0.1
[20pt] Code - C# - Environment Feedback,Write scripts to reflect environmental affects on player health on the in-game health component,task,open,version 0.1
[5pt] Code - C# - Menu Animation,Animate menu items on selection,task,open,version 0.1
[5pt] Code - C# - Selector,Write scripts to change the selector based on controller input,task,open,version 0.1
[20pt] Code - C# - Integration - Inventory and Craft,Write code to integrate player crafts and inventory items into selectable items available during on in-game weapons and tools element,task,open,version 0.1
[20pt] Code - C# - Integration - Gathering,Write code to integrate items gathered by player during game play into selectable items available in crafting and inventory systems,task,open,version 0.1
[20pt] Code - C# - Conditional Rendering - Item Quality,Write scripts to conditionally display text and/or item renderings to demonstrate the quality of the item,task,open,version 0.1
[13pt] Code - C# - Input,Write scripts to handle various input methods - keyboard or mouse or controller,task,open,version 0.1
[30pt] QA,Perform quality assurance on all UI elements once integrated with the game,task,open,version 0.1
[20pt] Collaboration and Design Feedback,Incorporate design feedback from consultants and QA testers,task,open,version 0.1
